Date,Bitcoin,Ethereum,Fossil_Fuel
8/3/2023,29178.67969,1835.136475,81.55000305
8/4/2023,29074.0918,1827.712891,82.81999969
8/7/2023,29180.57813,1826.938843,81.94000244
8/8/2023,29765.49219,1855.807373,82.91999817
8/9/2023,29561.49414,1854.297607,84.40000153
8/10/2023,29429.5918,1850.753418,82.81999969
8/11/2023,29397.71484,1847.12439,83.19000244
8/14/2023,29408.44336,1844.185791,82.51000214
8/15/2023,29170.34766,1826.932739,80.98999786
8/16/2023,28701.7793,1805.659058,79.37999725
8/17/2023,26664.55078,1684.933472,80.38999939
8/18/2023,26049.55664,1660.945068,81.25
8/21/2023,26124.14063,1667.269043,80.72000122
8/22/2023,26031.65625,1633.892578,80.34999847
8/23/2023,26431.64063,1679.274414,78.88999939
8/24/2023,26162.37305,1659.94458,79.05000305
8/25/2023,26047.66797,1652.935059,79.83000183
8/28/2023,26106.15039,1652.457397,80.09999847
8/29/2023,27727.39258,1729.725708,81.16000366
8/30/2023,27297.26563,1705.112183,81.62999725
8/31/2023,25931.47266,1645.63916,83.62999725
9/1/2023,25800.72461,1628.491211,85.55000305
9/5/2023,25779.98242,1633.629395,86.69000244
9/6/2023,25753.23633,1632.252319,87.54000092
9/7/2023,26240.19531,1647.598267,86.87000275
9/8/2023,25905.6543,1636.137817,87.51000214
9/11/2023,25162.6543,1551.637695,87.29000092
9/12/2023,25833.34375,1592.429443,88.83999634
9/13/2023,26228.32422,1607.988525,88.51999664
9/14/2023,26539.67383,1626.974365,90.16000366
9/15/2023,26608.69336,1641.640381,90.76999664
9/18/2023,26754.28125,1637.347046,91.48000336
9/19/2023,27211.11719,1643.544678,91.19999695
9/20/2023,27132.00781,1622.890625,90.27999878
9/21/2023,26567.63281,1584.307007,89.62999725
9/22/2023,26579.56836,1593.268311,90.02999878
9/25/2023,26298.48047,1588.322876,89.68000031
9/26/2023,26217.25,1593.417236,90.38999939
9/27/2023,26352.7168,1597.491211,93.68000031
9/28/2023,27021.54688,1652.88269,91.70999908
9/29/2023,26911.7207,1667.943848,90.79000092
10/2/2023,27530.78516,1663.627563,88.81999969
10/3/2023,27429.97852,1656.685669,89.23000336
10/4/2023,27799.39453,1647.838135,84.22000122
10/5/2023,27415.91211,1611.47644,82.30999756
10/6/2023,27946.59766,1645.831543,82.79000092
10/9/2023,27583.67773,1579.806641,86.37999725
10/10/2023,27391.01953,1567.713013,85.97000122
10/11/2023,26873.32031,1566.254761,83.48999786
10/12/2023,26756.79883,1539.612427,82.91000366
10/13/2023,26862.375,1552.089478,87.69000244
10/16/2023,28519.4668,1600.534302,86.66000366
10/17/2023,28415.74805,1565.439575,86.66000366
10/18/2023,28328.3418,1563.749878,88.31999969
10/19/2023,28719.80664,1567.457031,89.37000275
10/20/2023,29682.94922,1604.66687,88.75
10/23/2023,33086.23438,1765.38269,85.48999786
10/24/2023,33901.52734,1784.4375,83.73999786
10/25/2023,34502.82031,1787.397583,85.38999939
10/26/2023,34156.64844,1804.039307,83.20999908
10/27/2023,33909.80078,1780.045288,85.54000092
10/30/2023,34502.36328,1810.088623,82.30999756
10/31/2023,34667.78125,1816.458984,81.01999664
11/1/2023,35437.25391,1847.089722,80.44000244
11/2/2023,34938.24219,1800.620972,82.45999908
11/3/2023,34732.32422,1832.795166,80.51000214
11/6/2023,35037.37109,1899.837402,80.81999969
11/7/2023,35443.5625,1888.124268,77.37000275
11/8/2023,35655.27734,1889.322388,75.33000183
11/9/2023,36693.125,2120.561035,75.73999786
11/10/2023,37313.96875,2078.289795,77.16999817
11/13/2023,36502.35547,2055.265381,78.26000214
11/14/2023,35537.64063,1979.052612,78.26000214
11/15/2023,37880.58203,2060.408447,76.66000366
11/16/2023,36154.76953,1960.881592,72.90000153
11/17/2023,36596.68359,1961.280762,75.88999939
11/20/2023,37476.95703,2022.239136,77.59999847
11/21/2023,35813.8125,1937.066772,77.76999664
11/22/2023,37432.33984,2064.425293,77.09999847
11/24/2023,37720.28125,2081.1521,75.54000092
11/27/2023,37254.16797,2027.417358,74.86000061
11/28/2023,37831.08594,2049.338135,76.41000366
11/29/2023,37858.49219,2029.929199,77.86000061
11/30/2023,37712.74609,2052.556152,75.95999908
12/1/2023,38688.75,2087.139893,74.06999969
12/4/2023,41980.09766,2243.21582,73.04000092
12/5/2023,44080.64844,2293.841797,72.31999969
12/6/2023,43746.44531,2231.661377,69.37999725
12/7/2023,43292.66406,2357.57959,69.33999634
12/8/2023,44166.60156,2358.731934,71.23000336
12/11/2023,41243.83203,2224.578857,71.31999969
12/12/2023,41450.22266,2202.038086,68.61000061
12/13/2023,42890.74219,2260.648682,69.47000122
12/14/2023,43023.97266,2316.579102,71.58000183
12/15/2023,41929.75781,2219.337402,71.43000031
12/18/2023,42623.53906,2217.273438,72.47000122
12/19/2023,42270.52734,2177.872559,73.44000244
12/20/2023,43652.25,2201.911377,74.22000122
12/21/2023,43869.15234,2239.54248,73.88999939
12/22/2023,43997.90234,2326.524902,73.55999756
12/26/2023,42520.40234,2231.465332,75.56999969
12/27/2023,43442.85547,2378.73999,74.11000061
12/28/2023,42627.85547,2347.566162,71.76999664
12/29/2023,42099.40234,2300.690674,71.65000153
1/2/2024,44957.96875,2355.836426,70.37999725
1/3/2024,42848.17578,2210.761963,72.69999695
1/4/2024,44179.92188,2269.038086,72.19000244
1/5/2024,44162.69141,2268.647217,73.80999756
1/8/2024,46970.50391,2333.032715,70.76999664
1/9/2024,46139.73047,2344.827148,72.23999786
1/10/2024,46627.77734,2582.103516,71.37000275
1/11/2024,46368.58594,2619.619141,72.01999664
1/12/2024,42853.16797,2524.460205,72.68000031
1/16/2024,43154.94531,2587.691162,72.40000153
1/17/2024,42742.65234,2528.369385,72.55999756
1/18/2024,41262.05859,2467.018799,74.08000183
1/19/2024,41618.40625,2489.498535,73.41000366
1/22/2024,39507.36719,2310.826416,75.19000244
1/23/2024,39845.55078,2240.686035,74.37000275
1/24/2024,40077.07422,2233.561768,75.08999634
1/25/2024,39933.80859,2217.710205,77.36000061
1/26/2024,41816.87109,2267.199707,78.01000214
1/29/2024,43288.24609,2317.064209,76.77999878
1/30/2024,42952.60938,2344.493652,77.81999969
1/31/2024,42582.60547,2282.544434,75.84999847
2/1/2024,43075.77344,2303.824707,73.81999969
2/2/2024,43185.85938,2308.038086,72.27999878
2/5/2024,42658.66797,2298.888916,72.77999878
2/6/2024,43084.67188,2372.201904,73.30999756
2/7/2024,44318.22266,2423.745117,73.86000061
2/8/2024,45301.56641,2419.906494,76.22000122
2/9/2024,47147.19922,2487.515625,76.83999634
2/12/2024,49958.22266,2658.115967,76.91999817
2/13/2024,49742.44141,2642.185303,77.87000275
2/14/2024,51826.69531,2777.902344,76.63999939
2/15/2024,51938.55469,2824.378906,78.02999878
2/16/2024,52160.20313,2803.691406,79.19000244
2/20/2024,52284.875,3013.503662,78.18000031
2/21/2024,51839.17969,2970.355469,77.91000366
2/22/2024,51304.97266,2971.007324,78.61000061
2/23/2024,50731.94922,2921.658203,76.48999786
2/26/2024,54522.40234,3178.993652,77.58000183
2/27/2024,57085.37109,3244.519287,78.87000275
2/28/2024,62504.78906,3385.703857,78.54000092
2/29/2024,61198.38281,3341.919678,78.26000214
3/1/2024,62440.63281,3435.053955,79.97000122
3/4/2024,68330.41406,3630.433838,78.73999786
3/5/2024,63801.19922,3554.9646,78.15000153
3/6/2024,66106.80469,3819.226318,79.12999725
3/7/2024,66925.48438,3874.347656,78.93000031
3/8/2024,68300.09375,3892.061035,78.01000214
3/11/2024,72123.90625,4066.445068,77.93000031
3/12/2024,71481.28906,3980.273193,77.55999756
3/13/2024,73083.5,4006.457031,79.72000122
3/14/2024,71396.59375,3883.140381,81.26000214
3/15/2024,69403.77344,3735.220215,81.04000092
3/18/2024,67548.59375,3517.985107,82.72000122
3/19/2024,61912.77344,3157.618164,83.47000122
3/20/2024,67913.67188,3513.393066,81.68000031
